_id,DataZone,IntZone,HB,HSCP,CA,SIMD2020V2Rank,SIMD2020V2CountryDecile,SIMD2020V2CountryQuintile,SIMD2020V2HBDecile,SIMD2020V2HBQuintile,SIMD2020V2HSCPDecile,SIMD2020V2HSCPQuintile,SIMD2020V2CADecile,SIMD2020V2CAQuintile,SIMD2020V2Most15pc,SIMD2020V2Least15pc
1,S01006506,S02001236,S08000020,S37000001,S12000033,4691,7,4,5,3,6,3,6,3,0,0
2,S01006507,S02001236,S08000020,S37000001,S12000033,4862,7,4,6,3,6,3,6,3,0,0
3,S01006508,S02001236,S08000020,S37000001,S12000033,5686,9,5,8,4,7,4,7,4,0,0
4,S01006509,S02001236,S08000020,S37000001,S12000033,4332,7,4,5,3,5,3,5,3,0,0
5,S01006510,S02001236,S08000020,S37000001,S12000033,3913,6,3,4,2,5,3,5,3,0,0
6,S01006511,S02001236,S08000020,S37000001,S12000033,6253,9,5,9,5,8,4,8,4,0,1
7,S01006512,S02001236,S08000020,S37000001,S12000033,5692,9,5,8,4,7,4,7,4,0,0
8,S01006513,S02001237,S08000020,S37000001,S12000033,6177,9,5,9,5,8,4,8,4,0,1
9,S01006514,S02001237,S08000020,S37000001,S12000033,6715,10,5,10,5,9,5,9,5,0,1
10,S01006515,S02001237,S08000020,S37000001,S12000033,6363,10,5,9,5,8,4,8,4,0,1
11,S01006516,S02001237,S08000020,S37000001,S12000033,5947,9,5,8,4,7,4,7,4,0,0
12,S01006517,S02001237,S08000020,S37000001,S12000033,5772,9,5,8,4,7,4,7,4,0,0
13,S01006518,S02001238,S08000020,S37000001,S12000033,6674,10,5,10,5,9,5,9,5,0,1
14,S01006519,S02001238,S08000020,S37000001,S12000033,6229,9,5,9,5,8,4,8,4,0,1
15,S01006520,S02001238,S08000020,S37000001,S12000033,6490,10,5,9,5,9,5,9,5,0,1
16,S01006521,S02001238,S08000020,S37000001,S12000033,6519,10,5,9,5,9,5,9,5,0,1
17,S01006522,S02001238,S08000020,S37000001,S12000033,6769,10,5,10,5,10,5,10,5,0,1
18,S01006523,S02001238,S08000020,S37000001,S12000033,6504,10,5,9,5,9,5,9,5,0,1
19,S01006524,S02001238,S08000020,S37000001,S12000033,4175,6,3,5,3,5,3,5,3,0,0
20,S01006525,S02001238,S08000020,S37000001,S12000033,6143,9,5,9,5,8,4,8,4,0,1
21,S01006526,S02001239,S08000020,S37000001,S12000033,2538,4,2,2,1,3,2,3,2,0,0
22,S01006527,S02001239,S08000020,S37000001,S12000033,2030,3,2,2,1,2,1,2,1,0,0
23,S01006528,S02001239,S08000020,S37000001,S12000033,3834,6,3,4,2,5,3,5,3,0,0
24,S01006529,S02001239,S08000020,S37000001,S12000033,3770,6,3,4,2,5,3,5,3,0,0
25,S01006530,S02001239,S08000020,S37000001,S12000033,2218,4,2,2,1,3,2,3,2,0,0
26,S01006531,S02001239,S08000020,S37000001,S12000033,1611,3,2,1,1,2,1,2,1,0,0
27,S01006532,S02001240,S08000020,S37000001,S12000033,5977,9,5,8,4,7,4,7,4,0,1
28,S01006533,S02001240,S08000020,S37000001,S12000033,6786,10,5,10,5,10,5,10,5,0,1
29,S01006534,S02001240,S08000020,S37000001,S12000033,6831,10,5,10,5,10,5,10,5,0,1
30,S01006535,S02001240,S08000020,S37000001,S12000033,6734,10,5,10,5,9,5,9,5,0,1
31,S01006536,S02001240,S08000020,S37000001,S12000033,5634,9,5,8,4,7,4,7,4,0,0
32,S01006537,S02001241,S08000020,S37000001,S12000033,6664,10,5,10,5,9,5,9,5,0,1
33,S01006538,S02001241,S08000020,S37000001,S12000033,6457,10,5,9,5,9,5,9,5,0,1
34,S01006539,S02001241,S08000020,S37000001,S12000033,6727,10,5,10,5,9,5,9,5,0,1
35,S01006540,S02001241,S08000020,S37000001,S12000033,6478,10,5,9,5,9,5,9,5,0,1
36,S01006541,S02001241,S08000020,S37000001,S12000033,6548,10,5,10,5,9,5,9,5,0,1
37,S01006542,S02001242,S08000020,S37000001,S12000033,6751,10,5,10,5,9,5,9,5,0,1
38,S01006543,S02001242,S08000020,S37000001,S12000033,6756,10,5,10,5,9,5,9,5,0,1
39,S01006544,S02001242,S08000020,S37000001,S12000033,6937,10,5,10,5,10,5,10,5,0,1
40,S01006545,S02001242,S08000020,S37000001,S12000033,6594,10,5,10,5,9,5,9,5,0,1
41,S01006546,S02001242,S08000020,S37000001,S12000033,6951,10,5,10,5,10,5,10,5,0,1
42,S01006547,S02001243,S08000020,S37000001,S12000033,3784,6,3,4,2,5,3,5,3,0,0
43,S01006548,S02001243,S08000020,S37000001,S12000033,6455,10,5,9,5,9,5,9,5,0,1
44,S01006549,S02001243,S08000020,S37000001,S12000033,6820,10,5,10,5,10,5,10,5,0,1
45,S01006550,S02001243,S08000020,S37000001,S12000033,6760,10,5,10,5,10,5,10,5,0,1
46,S01006551,S02001243,S08000020,S37000001,S12000033,1474,3,2,1,1,2,1,2,1,0,0
47,S01006552,S02001243,S08000020,S37000001,S12000033,6084,9,5,9,5,8,4,8,4,0,1
48,S01006553,S02001244,S08000020,S37000001,S12000033,5280,8,4,7,4,6,3,6,3,0,0
49,S01006554,S02001244,S08000020,S37000001,S12000033,3924,6,3,4,2,5,3,5,3,0,0
50,S01006555,S02001244,S08000020,S37000001,S12000033,1608,3,2,1,1,2,1,2,1,0,0
51,S01006556,S02001244,S08000020,S37000001,S12000033,2292,4,2,2,1,3,2,3,2,0,0
52,S01006557,S02001244,S08000020,S37000001,S12000033,1446,3,2,1,1,2,1,2,1,0,0
53,S01006558,S02001245,S08000020,S37000001,S12000033,6797,10,5,10,5,10,5,10,5,0,1
54,S01006559,S02001245,S08000020,S37000001,S12000033,6972,10,5,10,5,10,5,10,5,0,1
55,S01006560,S02001245,S08000020,S37000001,S12000033,6953,10,5,10,5,10,5,10,5,0,1
56,S01006561,S02001245,S08000020,S37000001,S12000033,6975,10,5,10,5,10,5,10,5,0,1
57,S01006562,S02001245,S08000020,S37000001,S12000033,4724,7,4,6,3,6,3,6,3,0,0
58,S01006563,S02001245,S08000020,S37000001,S12000033,5035,8,4,6,3,6,3,6,3,0,0
59,S01006564,S02001246,S08000020,S37000001,S12000033,3336,5,3,3,2,4,2,4,2,0,0
60,S01006565,S02001246,S08000020,S37000001,S12000033,3653,6,3,4,2,5,3,5,3,0,0
61,S01006566,S02001246,S08000020,S37000001,S12000033,5826,9,5,8,4,7,4,7,4,0,0
62,S01006567,S02001246,S08000020,S37000001,S12000033,2656,4,2,2,1,4,2,4,2,0,0
63,S01006568,S02001246,S08000020,S37000001,S12000033,5931,9,5,8,4,7,4,7,4,0,0
64,S01006569,S02001246,S08000020,S37000001,S12000033,5320,8,4,7,4,6,3,6,3,0,0
